Year,Month,Landing,Take-off,Total,"Year-on-year
% change",Arrival,Departure,Total_,"Year-on-year
% change",Unloaded,Loaded,Total,"Year-on-year
% change"

2019,Jan,18263,18271,36534,1.5,3174686,3285507,6460193,6.1,133183,259569,392752,-4.1
,Feb,16219,16217,32436,0.3,3039630,2827076,5866706,1.1,109996,159407,269403,-14.2
,Mar,18371,18381,36752,1.4,3170973,3225933,6396906,0.4,147360,274847,422207,0.1
,Apr,17843,17823,35666,0.8,3224183,3240153,6464336,3,130021,255013,385034,-8.3
,May,18152,18161,36313,0.9,3091554,3118381,6209935,3.3,135693,260049,395742,-7.6
,Jun,17643,17657,35300,-0.1,3140102,3179588,6319690,2.2,133290,245852,379142,-8.9
,Jul,18427,18426,36853,0.4,3294501,3407575,6702076,1,135148,256867,392016,-7.7
,Aug,17857,17820,35677,-3.5,3071268,2894487,5965755,-12.5,127240,251099,378339,-10.6
,Sep,16691,16707,33398,-1,2362710,2472443,4835153,-12.7,135028,262098,397126,-6.2
,Oct,17177,17162,34339,-6,2767962,2584921,5352883,-13,138643,280586,419228,-5.5
,Nov,16266,16262,32528,-8.2,2493253,2520669,5013922,-16.1,139834,299704,439538,-3.5
,Dec,16995,17004,33999,-8.4,2826432,2873565,5699997,-12.4,141384,291678,433062,-1.2
2020,Jan,16618,16608,33226,-9.1,2779209,2922579,5701788,-11.7,115710,235638,351348,-10.5
,Feb,9029,8992,18021,-44.4,1005112,872606,1877718,-68,114923,131621,246544,-8.5
,Mar,6106,6029,12135,-67,349248,226577,575825,-91,123634,251027,374661,-11.3
,Apr,4705,4736,9441,-73.5,19664,12075,31739,-99.5,98730,235827,334557,-13.1
,May,5678,5677,11355,-68.7,24000,11000,35000,-99.4,110500,263500,374000,-5.5
,Jun,4973,4972,9945,-71.8,37000,22000,59000,-99.1,113000,241000,354000,-6.6
,Jul,0,0,0,0,0,0,59000,0,0,0,0,0
,Aug,0,0,0,0,0,0,35000,0,0,0,0,0
,Sep,0,0,0,0,0,0,31739,0,0,0,0,0
,Oct,0,0,0,0,0,0,575825,0,0,0,0,0
,Nov,0,0,0,0,0,0,1877718,0,0,0,0,0
,Dec,0,0,0,0,0,0,5701788,0,0,0,0,0
2021,Jan,0,0,0,0,0,0,6164416,0,0,0,0,0
,Feb,0,0,0,0,0,0,5848964,0,0,0,0,0
,Mar,0,0,0,0,0,0,6209463,0,0,0,0,0
,Apr,0,0,0,0,0,0,6299560,0,0,0,0,0
,May,0,0,0,0,0,0,6086599,0,0,0,0,0
,Jun,0,0,0,0,0,0,6133464,0,0,0,0,0
,Jul,0,0,0,0,0,0,6567884,0,0,0,0,0
,Aug,0,0,0,0,0,0,6563106,0,0,0,0,0