As of date,Number of confirmed cases
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,2
24/01/2020,5
25/01/2020,5
26/01/2020,8
27/01/2020,8
28/01/2020,8
29/01/2020,10
30/01/2020,12
31/01/2020,13
01/02/2020,14
02/02/2020,15
03/02/2020,15
04/02/2020,18
05/02/2020,21
06/02/2020,24
07/02/2020,26
08/02/2020,26
09/02/2020,36
10/02/2020,42
11/02/2020,49
12/02/2020,50
13/02/2020,53
14/02/2020,56
15/02/2020,56
16/02/2020,57
17/02/2020,60
18/02/2020,61
19/02/2020,63
20/02/2020,67
21/02/2020,68
22/02/2020,68
23/02/2020,74
24/02/2020,77
25/02/2020,85
26/02/2020,91
27/02/2020,92
28/02/2020,94
29/02/2020,94
01/03/2020,97
02/03/2020,99
03/03/2020,100
04/03/2020,103
05/03/2020,104
06/03/2020,106
07/03/2020,108
08/03/2020,113
09/03/2020,115
10/03/2020,117
11/03/2020,129
12/03/2020,130
13/03/2020,132
14/03/2020,139
15/03/2020,147
16/03/2020,156
17/03/2020,164
18/03/2020,184
19/03/2020,206
20/03/2020,250
21/03/2020,273
22/03/2020,317
23/03/2020,351
24/03/2020,382
25/03/2020,407
26/03/2020,452
27/03/2020,494
28/03/2020,526
29/03/2020,577
30/03/2020,623
31/03/2020,680
01/04/2020,737
02/04/2020,784
03/04/2020,831
04/04/2020,853
05/04/2020,882
06/04/2020,914
07/04/2020,935
08/04/2020,960
09/04/2020,973
10/04/2020,989
11/04/2020,1000
12/04/2020,1004
13/04/2020,1009
14/04/2020,1012
15/04/2020,1016
16/04/2020,1017
17/04/2020,1021
18/04/2020,1023
19/04/2020,1025
20/04/2020,1025
21/04/2020,1029
22/04/2020,1033
23/04/2020,1035
24/04/2020,1035
25/04/2020,1037
26/04/2020,1037
27/04/2020,1037
28/04/2020,1037
29/04/2020,1037
30/04/2020,1037
01/05/2020,1039
02/05/2020,1039
03/05/2020,1039
04/05/2020,1040
05/05/2020,1040
06/05/2020,1040
07/05/2020,1044
08/05/2020,1044
09/05/2020,1044
10/05/2020,1047
11/05/2020,1047
12/05/2020,1047
13/05/2020,1050
14/05/2020,1051
15/05/2020,1052
16/05/2020,1052
17/05/2020,1055
18/05/2020,1055
19/05/2020,1055
20/05/2020,1055
21/05/2020,1063
22/05/2020,1065
23/05/2020,1065
24/05/2020,1065
25/05/2020,1065
26/05/2020,1065
27/05/2020,1066
28/05/2020,1066
29/05/2020,1079
30/05/2020,1082
31/05/2020,1084
01/06/2020,1087
02/06/2020,1093
03/06/2020,1093
04/06/2020,1099
05/06/2020,1102
06/06/2020,1105
07/06/2020,1106
08/06/2020,1107
09/06/2020,1107
10/06/2020,1107
11/06/2020,1107
12/06/2020,1108
13/06/2020,1109
14/06/2020,1109
15/06/2020,1112
16/06/2020,1112
17/06/2020,1120
18/06/2020,1124
19/06/2020,1127
20/06/2020,1128
21/06/2020,1131
22/06/2020,1161
23/06/2020,1177
24/06/2020,1179
25/06/2020,1193
26/06/2020,1196
27/06/2020,1197
28/06/2020,1199
29/06/2020,1203
30/06/2020,1205
01/07/2020,1233
02/07/2020,1242
03/07/2020,1247
04/07/2020,1258
05/07/2020,1268
06/07/2020,1285
07/07/2020,1299
08/07/2020,1323
09/07/2020,1365
10/07/2020,1403
11/07/2020,1431
12/07/2020,1469
13/07/2020,1521
14/07/2020,1569
15/07/2020,1588
16/07/2020,1655
17/07/2020,1713